method,class,threshold,accuracy,accuracy_occluded,fidelity
CAM-GradCAM,0,0.0,0.6854005167958657,0.32897286821705424,0.35642764857881143
CAM-GradCAM,0,0.01,0.6854005167958657,0.3184754521963824,0.36692506459948326
CAM-GradCAM,0,0.05,0.6854005167958657,0.31492248062015504,0.3704780361757106
CAM-GradCAM,0,0.1,0.6854005167958657,0.3226744186046512,0.3627260981912145
CAM-GradCAM,1,0.0,0.6854005167958657,0.8276808785529716,-0.1422803617571059
CAM-GradCAM,1,0.01,0.6854005167958657,0.8281653746770026,-0.1427648578811369
CAM-GradCAM,1,0.05,0.6854005167958657,0.8157299741602068,-0.1303294573643411
CAM-GradCAM,1,0.1,0.6854005167958657,0.8142764857881137,-0.12887596899224807
EB,0,0.0,0.6854005167958657,0.353843669250646,0.3315568475452197
EB,0,0.01,0.6854005167958657,0.3898578811369509,0.29554263565891475
EB,0,0.05,0.6854005167958657,0.4433139534883721,0.24208656330749356
EB,0,0.1,0.6854005167958657,0.4672157622739018,0.21818475452196384
EB,1,0.0,0.6854005167958657,0.4962855297157623,0.18911498708010338
EB,1,0.01,0.6854005167958657,0.5998062015503876,0.08559431524547811
EB,1,0.05,0.6854005167958657,0.6114341085271318,0.07396640826873391
EB,1,0.1,0.6854005167958657,0.6375968992248062,0.04780361757105944
GradCAM-avg,0,0.0,0.6854005167958657,0.30006459948320413,0.38533591731266154
GradCAM-avg,0,0.01,0.6854005167958657,0.3060400516795866,0.3793604651162791
GradCAM-avg,0,0.05,0.6854005167958657,0.32089793281653745,0.3645025839793282
GradCAM-avg,0,0.1,0.6854005167958657,0.32493540051679587,0.3604651162790698
GradCAM-avg,1,0.0,0.6854005167958657,0.7060723514211886,-0.02067183462532296
GradCAM-avg,1,0.01,0.6854005167958657,0.7252906976744186,-0.039890180878552894
GradCAM-avg,1,0.05,0.6854005167958657,0.7546834625322998,-0.06928294573643412
GradCAM-avg,1,0.1,0.6854005167958657,0.7797157622739018,-0.09431524547803616
Gradient,0,0.0,0.6854005167958657,0.12806847545219638,0.5573320413436693
Gradient,0,0.01,0.6854005167958657,0.146640826873385,0.5387596899224807
Gradient,0,0.05,0.6854005167958657,0.27357881136950907,0.4118217054263566
Gradient,0,0.1,0.6854005167958657,0.36708656330749356,0.3183139534883721
Gradient,1,0.0,0.6854005167958657,0.12806847545219638,0.5573320413436693
Gradient,1,0.01,0.6854005167958657,0.15536175710594316,0.5300387596899225
Gradient,1,0.05,0.6854005167958657,0.3166989664082687,0.36870155038759694
Gradient,1,0.1,0.6854005167958657,0.41747416020671835,0.2679263565891473
cEB,0,0.0,0.6854005167958657,0.4407299741602067,0.24467054263565896
cEB,0,0.01,0.6854005167958657,0.4176356589147287,0.26776485788113696
cEB,0,0.05,0.6854005167958657,0.4488049095607235,0.23659560723514217
cEB,0,0.1,0.6854005167958657,0.4738372093023256,0.21156330749354008
cEB,1,0.0,0.6854005167958657,0.7634043927648578,-0.07800387596899216
cEB,1,0.01,0.6854005167958657,0.7223837209302325,-0.03698320413436684
cEB,1,0.05,0.6854005167958657,0.6849160206718347,0.0004844961240310086
cEB,1,0.1,0.6854005167958657,0.6765180878552972,0.008882428940568454
